Timestamp,Uniquename,Anticipated Grad Date,What team(s) are you with today?,Questions/suggestions? (if any)
10/3/2019 19:05:53,edwhuang,2022,iOS,
10/3/2019 19:05:55,calzheng,2022,iOS,
10/3/2019 19:06:19,vallemkr,2022,Web Lead Engineer,none
10/3/2019 19:06:28,rogr,2023,Security,
10/3/2019 19:06:31,rishib,2020,Interviewing,
10/3/2019 19:06:34,jlmurry,2021,Independent Hacker,
10/3/2019 19:06:35,calberto,2022,React Native,
10/3/2019 19:06:41,neelrp,2021,Independent Hacker,
10/3/2019 19:06:41,cdmiddle,2021,Security,
10/3/2019 19:06:42,eaziz,2022,React Native,
10/3/2019 19:06:44,tybrandt,2023,iOS,
10/3/2019 19:06:53,rckhzouz,2021,Android,
10/3/2019 19:06:58,babbittw,2022,Security,
10/3/2019 19:06:59,dharivib ,2023,Web Lead Engineer,
10/3/2019 19:07:00,agedeon,2021,React Native,
10/3/2019 19:07:07,leozhu,2021,Web Lead Engineer,
10/3/2019 19:07:08,ktjlee,2021,React Native,
10/3/2019 19:07:10,aryans,2023,Embedded Systems,
10/3/2019 19:07:15,realdy,2021,Android,
10/3/2019 19:07:18,brchan,2021,Web Lead Engineer,Use font that discriminates capital i's from lower case L's
10/3/2019 19:07:42,sfancher,2023,Android,
10/3/2019 19:07:43,nischal,2021,"Interviewing, Independent Hacker",
10/3/2019 19:07:51,alexzw,2021,iOS,Na
10/3/2019 19:07:51,cblesy,2023,Android,
10/3/2019 19:08:07,tanst,2023,React Native,
10/3/2019 19:08:31,yamanq,2022,Security,
10/3/2019 19:08:33,rheidem,2022,Security,
10/3/2019 19:08:34,amtsang,2022,Web Lead Engineer,
10/3/2019 19:08:36,tainonc,2021,"Embedded Systems, React Native",
10/3/2019 19:08:36,vnagel,2019,Android,
10/3/2019 19:08:36,lucakato,2023,Web Lead Engineer,
10/3/2019 19:08:41,abbansal,2022,"iOS, Android, Security, Embedded Systems",
10/3/2019 19:08:43,ericlian,2022,React Native,
10/3/2019 19:08:47,junlinmo,2021,Interviewing,
10/3/2019 19:08:47,rajasg,2021,Independent Hacker,I wish I was as cool as you guys
10/3/2019 19:08:48,skychen,2021,React Native,
10/3/2019 19:08:48,xinyanzh,2022,React Native,
10/3/2019 19:08:48,chafke,2020,Web Lead Engineer,
10/3/2019 19:08:54,lokrajs,2021,Interviewing,
10/3/2019 19:08:56,thsm,2022,iOS,
10/3/2019 19:09:00,drvander,2023,Security,
10/3/2019 19:09:02,lockejus,2023,Security,
10/3/2019 19:09:18,hoal,,Web Lead Engineer,
10/3/2019 19:09:19,Anmecwan,2021,Embedded Systems,
10/3/2019 19:09:21,jakoba,2022,React Native,
10/3/2019 19:09:23,sanatht,2022,iOS,
10/3/2019 19:09:40,Kachnick,2022,Security,
10/3/2019 19:09:41,ocsean,2023,Android,
10/3/2019 19:09:43,vsharm,2022,Independent Hacker,
10/3/2019 19:09:56,bclow,2022,iOS,
10/3/2019 19:10:00,mohnisha,2023,New,
10/3/2019 19:10:07,ibhuiyan,2021,Independent Hacker,
10/3/2019 19:10:20,adortz,2022,misc,
10/3/2019 19:10:28,darmawan,2023,iOS,
10/3/2019 19:10:33,baderm,2022,no team,
10/3/2019 19:10:45,angelai,2023,Security,
10/3/2019 19:10:46,doraguo,2023,Embedded Systems,
10/3/2019 19:10:53,cpvega,2023,Embedded Systems,
10/3/2019 19:10:57,gdai,2023,Bootcamp,
10/3/2019 19:10:58,samzliu,2023,"Bootcamp, Hardware",
10/3/2019 19:11:02,rithvikr,2023,Bootcamp,
10/3/2019 19:11:11,hoffnick,2021,Security,
10/3/2019 19:11:17,sszaman,2022,"Web Lead Engineer, Independent Hacker",
10/3/2019 19:11:43,ebutch,2022,iOS,
10/3/2019 19:12:13,ricwong,2023,Web Lead Engineer,
10/3/2019 19:12:28,jgleona,2022,Web Lead Engineer,
10/3/2019 19:14:03,rushilk,2022,Android,
10/3/2019 19:16:19,ahonzik,2022,Security,
10/3/2019 19:16:50,rsorkin,2022,Security,
10/3/2019 19:16:59,mohami,2022,Security,
10/3/2019 19:17:03,adortz,2022,misc,
10/3/2019 19:18:52,genemc,2021,iOS,
10/3/2019 19:18:52,ikong,2020,Security,
10/3/2019 19:19:11,edpeper,2021,Security,
10/3/2019 19:19:35,abrahaja,2022,Android,
10/3/2019 19:21:43,connory,2021,Bootcamp,
10/3/2019 19:22:35,mabelcha,2021,Interviewing,
10/3/2019 19:23:23,wiljwang,2023,Web Lead Engineer,
10/3/2019 19:23:53,eashwar,2020,Bootcamp,
10/3/2019 19:23:59,criggle,2023,iOS,
10/3/2019 19:24:33,ibirley,2023,Embedded Systems,
10/3/2019 19:24:42,wxzhu,2021,Security,
10/3/2019 19:24:43,tomasfe,2023,Security,
10/3/2019 19:24:56,Leonhadi,2021,iOS,
10/3/2019 19:25:13,xukailun,2021,Security,
10/3/2019 19:25:22,Cjrwill ,2021,Embedded Systems,
10/3/2019 19:25:23,cindygu,2022,iOS,
10/3/2019 19:25:32,rkhzouz,2021,Android,
10/3/2019 19:25:46,seanmcsw,2022,Security,
10/3/2019 19:26:19,Aravagar,2022,Security,
10/3/2019 19:26:50,aliibrah,2022,Security,
10/3/2019 19:28:23,cathsu,2020,Security,NOPE NERDS
10/3/2019 19:29:16,singhha,2022,iOS,
10/3/2019 19:50:34,theocruz,2021,Security,
10/3/2019 20:38:44,hoganmas,2023,Android,
10/3/2019 20:39:07,aveekdg,2023,React Native,Not any at this time
10/3/2019 21:57:37,snad,2023,Interviewing,
10/3/2019 22:24:41,rqkang,2023,Interviewing,
10/4/2019 8:25:37,baderm,2022,no team,